No.,Depth,Distance,Speed,Density,Shear wave velocity of soil,Z-vibration,Vibration level for 1Hz,1.25,1.6,2,2.5,3.15,4,5,6.3,8,10,12.5,16,20,25,31.5,40,50,63,80
26,15.7,8,50,1900,317.0352,71.41615615,12.574,12.7908,13.6821,15.0358,18.326,18.64,22.3681,26.8454,31.0462,36.309,50.7845,58.3473,59.5237,57.6553,62.2818,70.8553,74.5339,76.3651,78.8744,80.297
27,15.7,11,50,1900,317.0352,69.50677236,9.9101,10.4814,11.0516,12.1938,16.7575,16.3438,21.2526,27.7794,31.1525,33.6897,48.1393,55.8764,59.1936,57.971,62.5457,68.4839,70.4272,73.8994,76.8866,80.3669
28,15.7,13,50,1900,317.0352,67.59534148,9.4037,10.0877,10.8946,11.4045,15.0124,15.9023,20.692,24.2775,26.9829,32.7786,44.7309,50.4278,53.472,49.774,59.2672,69.9458,71.816,72.9512,73.6066,68.7165
29,15.7,16,50,1900,317.0352,65.83576446,10.5093,10.5797,11.5919,12.6246,15.8061,16.7104,20.4777,26.7719,30.6391,35.9393,51.9636,58.9227,61.6553,58.7311,59.5922,66.3331,65.7274,66.4131,64.9966,70.1932
30,15.7,19,50,1900,317.0352,65.83576446,10.5093,10.5797,11.5919,12.6246,15.8061,16.7104,20.4777,26.7719,30.6391,35.9393,51.9636,58.9227,61.6553,58.7311,59.5922,66.3331,65.7274,66.4131,64.9966,70.1932
31,15.7,25,50,1900,317.0352,64.2246264,9.1354,9.5631,9.5939,9.9203,12.1943,14.0853,19.5371,27.0979,28.6192,31.6173,40.5427,45.6415,44.5778,42.2449,50.1913,61.1353,65.7329,71.3054,74.2729,71.1071
32,15.7,33,50,1900,317.0352,59.94656531,8.1083,8.1341,7.9751,8.1764,10.8602,13.4178,18.8525,26.9277,28.5128,31.4867,41.6828,47.2255,45.5818,42.7937,46.8184,56.2485,58.9935,66.1174,70.4151,67.9991
33,17.6,28,68,1900,317.0352,63.48413243,15.5481,15.98553333,15.04126667,16.4087,18.40086667,19.43883333,22.782,24.94093333,25.3252,30.90433333,35.11593333,39.70323333,43.90923333,50.53593333,57.4551,65.33403333,66.8708,68.03526667,68.89433333,72.5904
34,17.6,22,68,1900,317.0352,63.79955615,16.04996667,15.81593333,16.0778,17.128,18.41286667,19.47926667,22.90533333,25.64943333,26.81613333,31.05503333,35.21903333,39.41906667,43.44183333,50.56933333,58.05413333,66.19906667,67.4238,68.19963333,70.14366667,69.94986667
35,16.5,14,45,1800,182.52,64.80690062,15.8181,15.9108,16.7458,19.0877,22.5036,25.898,29.1361,33.7402,37.357,43.623,51.2775,52.9539,54.172,59.322,65.6082,67.6354,63.6197,58.7569,56.3171,53.0395
36,16.5,20,45,1800,182.52,61.65519961,16.8264,16.9208,18.6911,19.1042,24.0784,26.4083,28.6318,34.4239,36.7345,43.9524,51.5304,53.2968,53.7245,58.6273,61.338,61.52,57.661,55.6264,54.3636,47.6551
37,15.5,16,64,1950,312.12,51.58655114,9.54355,8.3788,7.4276,10.39155,12.4138,15.60785,21.33445,27.9747,36.4158,40.9007,37.2565,38.66615,38.38225,40.893,45.5619,52.50365,55.38905,55.84095,53.37245,49.16495
38,15.5,10,64,1950,312.12,52.53373382,7.9307,8.69135,8.8185,11.02265,11.7183,16.11235,20.14855,26.88065,35.98325,39.43195,38.40155,39.35645,39.8765,41.53045,45.9321,51.38075,55.2845,57.64175,59.07275,57.6515
39,20.5,30,60,1950,312.12,53.24883364,6.925,9.3347,17.7715,9.94945,10.66915,13.71515,16.71055,22.29925,23.9219,28.0685,32.24035,33.2433,34.5678,40.348,50.58515,53.46965,55.92635,57.4683,57.1298,63.9818
40,16,0,35,1750,148.6848,59.6288723,8.8517,11.5598,12.8294,20.24585,27.6969,30.6391,30.04005,32.455,34.22845,33.57555,33.93745,37.8927,43.7646,49.27165,51.3431,56.2622,61.0816,63.53065,68.5773,71.28515
41,16,10,35,1750,148.6848,57.08422438,5.6739,7.8087,11.1294,19.1948,27.7794,29.6556,29.4692,30.7521,31.283,33.0216,37.2159,45.8059,44.406,48.9258,51.112,54.1095,58.4259,58.6797,65.2429,68.1713
42,16,15,35,1750,148.6848,57.69992523,9.1621,10.4377,11.6646,19.2365,27.6267,30.7617,29.5839,30.7184,32.0977,35.5252,36.6762,42.3174,44.0918,46.9721,50.6454,54.4529,57.1396,60.6563,67.164,69.2822
43,16,20,35,1750,148.6848,59.18148063,5.9097,7.1229,11.4249,19.1559,28.2542,30.3493,30.4471,30.3125,31.1006,33.1714,41.0306,43.6139,44.4027,45.9988,48.2081,51.7365,55.1382,59.4835,70.4433,71.4873
44,16,25,35,1750,148.6848,54.95641481,4.0001,4.0497,10.957,17.551,26.7822,30.9559,28.2405,31.8882,30.2453,30.5437,32.3002,39.3679,42.718,47.0707,52.8691,56.1346,53.8513,56.0892,63.3236,61.703
45,16,30,35,1750,148.6848,53.11789095,6.2993,8.4776,10.5019,18.6509,27.9106,30.0895,30.3655,29.7054,31.4722,30.7885,37.2397,40.3942,43.4738,45.7757,47.38,51.9637,52.951,56.1796,61.6275,60.9164
46,16,35,35,1750,148.6848,52.78274708,5.8285,5.9812,9.9009,18.0671,27.0428,30.8178,29.2299,31.766,30.7991,28.9226,32.891,37.5391,39.3993,42.8283,48.6557,52.0399,54.3535,56.2728,61.0547,61.1107
47,16,40,35,1750,148.6848,51.62734461,6.1241,8.6047,13.2888,18.0679,27.6048,30.0487,29.8058,29.1772,31.3957,30.818,36.3886,39.8948,40.4793,41.6715,46.0245,49.2072,52.8991,56.4322,60.2087,57.0439
48,16,45,35,1750,148.6848,51.00697121,6.723,5.0982,9.5046,17.4064,27.0006,29.5338,30.1407,32.0489,30.3937,28.0406,33.4325,36.5691,40.1171,41.7279,45.878,52.472,51.1196,52.4104,59.6075,56.9695
49,16,50,35,1750,148.6848,50.47548273,5.7669,6.6588,10.9943,18.1119,27.5076,30.4293,29.5665,29.9282,32.1347,31.4346,34.4797,38.6577,37.9891,44.4116,50.4953,47.6822,49.01,52.9273,55.5922,57.7449
50,16,55,35,1750,148.6848,51.14861507,3.2,6.5227,8.4613,17.0954,26.2468,29.7813,30.0065,31.4198,29.8433,27.7342,32.7812,35.3276,35.9197,40.3316,48.5277,52.9474,53.0381,53.6403,57.7748,56.8182
